name,rating
The Little Vampire,4
Food As Medicine,4
Black Bag,3
An Elf's Story,4
The Prince of Egypt,4
Suicide Squad,1
A Cinderella Christmas,3
Pam &amp; Tommy,4
Napoleon,3
Britney Spears: Breaking Free,3
Snoopy Presents: One-of-a-Kind Marcie,3
The Karate Kid,2
Bring It On: In It to Win It,4
Puss in Boots,3
Raya and the Last Dragon,3
Top Gun: Maverick,1
Barbie,4
Euphoria,3
Avatar: The Way of Water,2
Elemental,4
Splash,4
Jesus Revolution,4
The Speed Cubers,4
Who We Are: A Chronicle of Racism in America,4
Redeeming Love,4
Shrek the Third,3
Marry Me,4
Funny Pets 2,4
But I'm a Cheerleader,4
Blood and Chocolate,3
High Strung,2
Behaving Badly,3
Mean Girls 2,2
The Haunted Mansion,3
I Spy,4
Lilo &amp; Stitch: The Series,3
Lilo &amp; Stitch 2: Stitch Has a Glitch,4
Lilo &amp; Stitch,4
Lilo &amp; Stitch,4
Shark Tale,3
The Proposal,4
The Tinder Swindler,4
Superhero Movie,2
A Merry Friggin' Christmas,2
Risky Business,3
"Food, Inc.",3
Next,4
Freedom Writers,3
The Last Witch Hunter,3
Side Effects,3
Beastly,3
The Rescuers,3
The Great Mouse Detective,3
Futurama: The Beast with a Billion Backs,4
True Blood,3
It's Kind of a Funny Story,3
S.W.A.T.,3
Ip Man 2,3
Sahara,3
Once Upon a Time in Mexico,3
Maid in Manhattan,4
Futurama: Bender's Game,4
Samurai Jack,2
Need for Speed,3
King of the Hill,2
Beautiful Boy,3
Sex Tape,3
Around the World in 80 Days,4
Valentine's Day,2
PAW Patrol,1
The Twilight Zone,4
Æon Flux,3
Death Race,4
Employee of the Month,4
A Scanner Darkly,4
Kim Possible,4
Memoirs of a Geisha,4
Miss Congeniality 2: Armed and Fabulous,4
Sex and the City,4
The Tuxedo,4
Futurama: Bender's Big Score,4
Transporter 2,4
No Strings Attached,4
Sesame Street,3
Machete,3
The Spy Who Dumped Me,3
The Fairly OddParents,2
Not Another Teen Movie,4
Narcos,2
Sucker Punch,4
Attack on Titan,3
High School of the Dead,4
Blood Lad,4
InuYasha,4
Naruto,3
Cardcaptor Sakura,4
Elfen Lied,4
K-ON!,4
Gangsta.,3
Kuroko's Basketball,3
Black Butler,4
Hellsing,4
Lovely★Complex,4
Claymore,4
Maid Sama!,4
Ouran High School Host Club,3
Death Note,4
Spider-Man 2,4
Teenage Mutant Ninja Turtles,4
Blade,4
Kim Possible: A Sitch In Time,4
X-Men,4
Kick-Ass,3
Fantastic Four,4
Wonder Woman,4
The Powerpuff Girls Movie,4
Men in Black II,4
The Dark Knight,3
The Avengers,3
Bao,4
Ponyo,3
Kiki's Delivery Service,4
My Neighbor Totoro,3
Howl's Moving Castle,3
Finding Dory,3
The Lion King 1½,3
Paperman,4
How the Grinch Stole Christmas!,4
Monsters University,4
The Emperor's New Groove,4
Harry Potter and the Goblet of Fire,2
The Fox and the Hound,4
Tooth Fairy,3
Unleashed,4
Tangled Ever After,4
The Book of Life,3
The Road to El Dorado,4
Lizzie McGuire,2
Boys Over Flowers,4
Hannah Montana,2
That's So Raven,2
Wizards of Waverly Place,2
Drake &amp; Josh,2
The Many Adventures of Winnie the Pooh,3
Alice in Wonderland,4
The Outsiders,4
Year One,2
The Phantom of the Opera,3
"Girl, Interrupted",3
Catwoman,4
Man of Steel,3
Wonder Woman,4
The Game Changers,3
Forks Over Knives,2
An Inconvenient Truth,4
"Money, Explained",4
My Boss's Daughter,4
Thomas &amp; Friends,3
Thor,4
101 Dalmatians,4
Garfield,4
G-Force,3
Valiant,3
Barnyard,4
Chicken Little,4
The Wild,4
Bee Movie,4
Open Season,4
Happy Feet,4
Coraline,3
Despicable Me,3
"I, Robot",4
War of the Worlds,4
World War Z,4
Beowulf,4
The Incredible Hulk,4
Hulk,4
The Fantastic 4: First Steps,4
The Longest Ride,4
Step Up,4
Remember Me,3
Enchanted,3
Leap Year,3
Hairspray,1
Bridge to Terabithia,3
An Extremely Goofy Movie,4
A Goofy Movie,4
The Sword in the Stone,4
Free Willy,4
The Polar Express,4
Chicken Run,4
Babe,3
How to Train Your Dragon,3
Casper,4
The Boss Baby,3
Princess Mononoke,3
Hotel Transylvania,3
Cruel Intentions,3
Get a Clue,4
Herbie Fully Loaded,4
Read It and Weep,4
Sky High,4
The Pacifier,4
Cheaper by the Dozen,4
Stuck in the Suburbs,4
Go Figure,4
The Luck of the Irish,4
Pixel Perfect,4
Return to Halloweentown,4
Halloweentown High,4
Halloweentown II: Kalabar's Revenge,4
Halloweentown,4
Zenon: Girl of the 21st Century,4
Zenon: The Zequel,4
Zenon: Z3,4
Material Girls,4
Zathura: A Space Adventure,4
Agent Cody Banks,4
Max Keeble's Big Move,4
Superman Returns,4
Superman,4
Wish Upon a Star,4
Men in Black,4
